DT_ATENDIMENTO|ATENDIMENTOS
2022-12-19|97
2022-12-20|93
2022-12-21|99
2022-12-22|104
2022-12-23|75
2022-12-24|48
2022-12-25|81
2022-12-26|107
2022-12-27|83
2022-12-28|59
2022-12-29|82
2022-12-30|83
2022-12-31|42
2023-01-01|48
2023-01-02|61
2023-01-03|67
2023-01-04|74
2023-01-05|58
2023-01-06|57
2023-01-07|47
2023-01-08|56
2023-01-09|51
2023-01-10|58
2023-01-11|64
2023-01-12|43
2023-01-13|47
2023-01-14|63
2023-01-15|47
2023-01-16|49
2023-01-17|39
2023-01-18|54
2023-01-19|44
2023-01-20|50
2023-01-21|34
2023-01-22|56
2023-01-23|70
2023-01-24|67
2023-01-25|63
2023-01-26|76
2023-01-27|65
2023-01-28|91
2023-01-29|87
2023-01-30|79
2023-01-31|60
2023-02-01|81
2023-02-02|82
2023-02-03|83
2023-02-04|102
2023-02-05|106
2023-02-06|119
2023-02-07|91
2023-02-08|128
2023-02-09|126
2023-02-10|122
2023-02-11|140
2023-02-12|127
2023-02-13|172
2023-02-14|126
2023-02-15|137
2023-02-16|112
2023-02-17|109
2023-02-18|127
2023-02-19|114
2023-02-20|120
2023-02-21|139
2023-02-22|140
2023-02-23|123
2023-02-24|115
2023-02-25|107
2023-02-26|122
2023-02-27|99
2023-02-28|107
2023-03-01|119
2023-03-02|87
2023-03-03|123
2023-03-04|134
2023-03-05|124
2023-03-06|135
2023-03-07|136
2023-03-08|104
2023-03-09|153
2023-03-10|125
2023-03-11|143
2023-03-12|182
2023-03-13|150
2023-03-14|153
2023-03-15|155
2023-03-16|145
2023-03-17|165
2023-03-18|155
2023-03-19|191
2023-03-20|185
2023-03-21|185
2023-03-22|201
2023-03-23|157
2023-03-24|158
2023-03-25|157
2023-03-26|185
2023-03-27|179
2023-03-28|179
2023-03-29|214
2023-03-30|153
2023-03-31|158
2023-04-01|159
2023-04-02|188
2023-04-03|217
2023-04-04|157
2023-04-05|170
2023-04-06|116
2023-04-07|160
2023-04-08|172
2023-04-09|168
2023-04-10|227
2023-04-11|186
2023-04-12|186
2023-04-13|158
2023-04-14|148
2023-04-15|187
2023-04-16|203
2023-04-17|235
2023-04-18|177
2023-04-19|152
2023-04-20|119
2023-04-21|149
2023-04-22|165
2023-04-23|209
2023-04-24|203
2023-04-25|166
2023-04-26|158
2023-04-27|143
2023-04-28|57
